cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ACO,Acolman,-98.912003,19.635501,2198.0,,484150020109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520821255419674,0.508206263451068,0.29987581792527507,0.276018459701259,0.264298631683672,0.262730260975376,0.34821938510960604,0.270087164250874,0.26968654029688,0.0
AJU,Ajusco,-99.162611,19.154286,2942.0,,484090120400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJM,Ajusco Medio,-99.20774399999999,19.272160999999997,2548.0,,484090120609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612048935753163,0.562702902972474,0.448417773826202,0.30631267436045395,0.24016728102689802,0.21207160946148998
ARA,Arag�n,-99.074549,19.470218,2200.0,Finaliz� operaci�n en 2010,484090050301,2.99373109053824,2.5516552780178903,1.6032045620356201,1.8134767945992898,1.47740350014074,1.58045394503923,1.5691668961200902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATI,Atizapan,-99.254133,19.576963,2341.0,,484150130101,1.89557004482703,1.77003178631499,1.05440076372769,0.8479264739582572,1.04884222008011,0.784922907522711,0.8181228584954259,0.0,0.0,0.0,0.0,0.0,0.0,0.7028130620391511,0.63226098160909,0.611092878245141,0.5132079882885761,0.47894872567693897,0.37315051214031003,0.343835874176185,0.28142296948955203
AZC,Azcapotzalco,-99.198657,19.487728,2279.0,Finaliz� operaci�n en 2010,484090020201,1.9173849914397298,1.36223110161648,1.3554104774871698,1.11023245216227,1.28635241317501,1.1037039675401399,1.21111759859282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJU,Benito Ju�rez,-99.159596,19.370464000000002,2249.0,Finaliz� operaci�n en 2005,484090140201,2.2838823548716403,1.8196297058937703,1.8451344328307098,1.53424816626506,1.3653267159930602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763782393911844,0.7265964425958441,0.624075542246378,0.468872969642164,0.38857223611224706,0.294788237969248
CAM,Camarones,-99.169794,19.468404,2233.0,,484090020301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89593315760767,0.8848213798243392,0.831951163293249,0.7931090428034921,0.9301559613478342,0.8521171935791869,0.6463553149129599,0.4485826665017779,0.4959028531194,0.343973036303657
CCA,Centro de Ciencias de la Atm�sfera,-99.17611099999999,19.326110999999997,2294.0,,484090030501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7182937010861979,0.7056074260383521,0.680531028000343,0.537258903778139,0.38564336082935996,0.320168969381839,0.258628047500235
CES,Cerro de la Estrella,-99.074678,19.334731,2219.0,Finaliz� operaci�n en 2010,484090070111,2.0445167595155,2.18878474526693,1.88896611147596,1.4964179381500602,1.43220650217935,1.47856071035923,1.28234219244747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
