cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ACO,Acolman,-98.912003,19.635501,2198.0,,484150020109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.848415629426302,24.1270026139333,22.7730457415242,22.045208657543302,20.2259607747432,22.858924592815498,26.903019599519897,24.381596009288696,21.6642679535606,0.0
AJU,Ajusco,-99.162611,19.154286,2942.0,,484090120400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJM,Ajusco Medio,-99.20774399999999,19.272160999999997,2548.0,,484090120609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.006243405834898,23.586258048269,22.048453546540102,22.2017894172645,18.333684566579603,15.433625664363198
ARA,Arag�n,-99.074549,19.470218,2200.0,Finaliz� operaci�n en 2010,484090050301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATI,Atizapan,-99.254133,19.576963,2341.0,,484150130101,20.1211095837385,31.1993495211305,20.306819313601302,32.6700996154131,32.4556299970895,36.969275550352,35.896663043687504,36.2454569641698,41.786202856604206,37.421723938725904,37.327741610459,38.0481957030242,39.5136384665766,38.805467968734206,36.095451456329606,36.3909988450751,32.6547503750638,28.79,32.309194219488305,30.6429562566913,22.3675864795263
AZC,Azcapotzalco,-99.198657,19.487728,2279.0,Finaliz� operaci�n en 2010,484090020201,56.559885507367106,46.118685839878204,41.7502372714853,53.8138772130009,57.7588427733739,52.276288931257,55.34691681705,51.3934721972565,54.767683635953105,49.468778968089296,48.9313157271464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJU,Benito Ju�rez,-99.159596,19.370464000000002,2249.0,Finaliz� operaci�n en 2005,484090140201,52.83461830387079,37.1792051718924,54.486616489656896,63.5890896710588,65.1536217642455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,Camarones,-99.169794,19.468404,2233.0,,484090020301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5355499732497,69.2702101714839,65.6512590272746,65.155849538723,63.7502100013565,58.7620147183048,55.1614548521915,55.624289341039,52.49523908750461,37.6807272560561
CCA,Centro de Ciencias de la Atm�sfera,-99.17611099999999,19.326110999999997,2294.0,,484090030501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.199214491938896,41.2612029870243,38.8541468123612,35.55087150929779,34.2883054922315,29.6095713357406,21.696613907041996
CES,Cerro de la Estrella,-99.074678,19.334731,2219.0,Finaliz� operaci�n en 2010,484090070111,68.3017885405494,57.9616071716626,59.882190249501804,66.8756605999815,68.68518168463389,65.15519429463299,63.0422096041815,60.3369991826405,60.3109674276666,55.7141714253455,56.7810381695681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFE,Museo Tecnol�gico de la CFE,-99.19427900000001,19.414393,2287.0,Finaliz� operaci�n en 1996,484090160102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHO,Chalco,-98.886088,19.266948,2253.0,,484150250109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.807811424929,43.4836818663644,41.588034556873204,0.0,0.0,0.0,0.0,38.2124850216326,38.2207139628345,0.0
COR,CORENA,-99.02604000000001,19.265345999999997,2242.0,,484090130204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COY,Coyoac�n,-99.157101,19.350258,2260.0,,484090030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.398441839351904,52.587431710929394,51.4941635929063,50.39362267779511,45.66544801894239,45.407522047087205,39.1017431945462,0.0,0.0,0.0
CUA,Cuajimalpa,-99.29170500000001,19.365313,2704.0,,484090040109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4474439426859,35.2110508090132,34.5536751489386,34.9918260932987,36.0009952406375,31.6358871432445,32.9205001515803,32.6883029034097,29.819105788340302,20.803581606540803
CUI,Cuitl�huac,-99.165849,19.469859,2255.0,Finaliz� operaci�n en 1993,484090020101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUT,Cuautitl�n,-99.19860200000001,19.722185999999997,2263.0,,484150950109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3729898018028,38.779818327787,37.7070869144071,38.815371620418794,38.4407269084685,38.9920890335107,36.3534464859461,35.347914721967605,30.4689665977004
