cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ACO,Acolman,-98.912003,19.635501,2198.0,,484150020109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.380567832205,21.7453367104074,21.630857042974302,19.3409224137431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJU,Ajusco,-99.162611,19.154286,2942.0,,484090120400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.595566249046303,16.117903899602002,20.2319376086163,21.5775570018607,17.2110149884547
AJM,Ajusco Medio,-99.20774399999999,19.272160999999997,2548.0,,484090120609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9996834441558,18.718921170160502,18.774142809112398,19.120361932399103,19.0177632654583
ARA,Arag�n,-99.074549,19.470218,2200.0,Finaliz� operaci�n en 2010,484090050301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATI,Atizapan,-99.254133,19.576963,2341.0,,484150130101,20.1211095837385,31.1993495211305,20.306819313601302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZC,Azcapotzalco,-99.198657,19.487728,2279.0,Finaliz� operaci�n en 2010,484090020201,56.559885507367106,46.118685839878204,41.7502372714853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJU,Benito Ju�rez,-99.159596,19.370464000000002,2249.0,Finaliz� operaci�n en 2005,484090140201,52.83461830387079,37.1792051718924,54.486616489656896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.650573525239,23.428646037988702,23.796291988584198,22.919453053372997,19.5343124962648
CAM,Camarones,-99.169794,19.468404,2233.0,,484090020301,0.0,0.0,0.0,26.935393093267002,27.0600216143238,30.4886607895019,29.3204309889393,30.2745695863697,28.663158180983,29.531978625823804,22.858549408323,26.2351920029592,25.0662211416499,27.9562380003084,25.7842767007985,27.0492059539216,24.816419432183103,25.4890950075635,25.152785603705603,26.6209733833445
CCA,Centro de Ciencias de la Atm�sfera,-99.17611099999999,19.326110999999997,2294.0,,484090030501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.722543089355302,18.1755908007489,17.314909022256,19.2985476242461,19.761060070120898,20.2523766152549
CES,Cerro de la Estrella,-99.074678,19.334731,2219.0,Finaliz� operaci�n en 2010,484090070111,68.3017885405494,57.9616071716626,59.882190249501804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFE,Museo Tecnol�gico de la CFE,-99.19427900000001,19.414393,2287.0,Finaliz� operaci�n en 1996,484090160102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHO,Chalco,-98.886088,19.266948,2253.0,,484150250109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COR,CORENA,-99.02604000000001,19.265345999999997,2242.0,,484090130204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COY,Coyoac�n,-99.157101,19.350258,2260.0,,484090030303,0.0,0.0,0.0,30.051141178309603,24.3660933831133,25.3580912515942,22.015061537537104,22.331475862698603,23.4274502326254,22.5922878190658,20.1285835452797,26.664896030661396,25.232627140974998,27.046029341466,24.7744453940621,26.5872580228596,24.2392658222779,23.9308899253482,0.0,0.0
CUA,Cuajimalpa,-99.29170500000001,19.365313,2704.0,,484090040109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUI,Cuitl�huac,-99.165849,19.469859,2255.0,Finaliz� operaci�n en 1993,484090020101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUT,Cuautitl�n,-99.19860200000001,19.722185999999997,2263.0,,484150950109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,Diconsa,-99.185774,19.298819,2305.0,,484090120304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAJ,Ecoguardas Ajusco,-99.203971,19.271222,2584.0,,484090120404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDL,Exconv. Desierto Leones,-99.31063499999999,19.313357,2980.0,,484090040204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAC,FES Acatl�n,-99.243524,19.482473000000002,2299.0,,484150570109,43.4293918487635,56.084266301889,43.827226963037994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAN,Felipe �ngeles,-99.17492,19.299126,2279.0,Finaliz� operaci�n en 1996,484090120102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAM,Gustavo A. Madero,-99.09451700000001,19.4827,2227.0,,484090050809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2550275006797,0.0,25.058155389373603,25.423754944830698,24.411331586760802
HAN,Hangares,-99.083623,19.420517999999998,2235.0,Finaliz� operaci�n en 2006,484090170209,76.767973255012,76.43090257745871,79.49590161631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HGM,Hospital General de M�xico,-99.15220699999999,19.411617,2234.0,,484090150409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7658357240268,26.3141762747633,24.110942445349803,26.3570718034792,24.3942300565028,24.2312975375102,23.503318736960395,23.9261431679247
IBM,Legaria,-99.21536,19.443319,2314.0,,484090160504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMP,Inst. Mexicano del Petr�leo,-99.14729399999999,19.487561,2250.0,Finaliz� operaci�n en 2010,484090050209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INN,Investigaciones Nucleares,-99.38051999999999,19.291968,3082.0,,484150620109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.034803630398299,13.485600767678198,14.5181810908645,15.0975267281376,15.6242445814549
IZT,Iztacalco,-99.117641,19.384413000000002,2238.0,,484090060101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAA,Lab. de Analisis Ambiental,-99.147312,19.483781,2255.0,,484090050604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAG,Lagunilla,-99.135183,19.442420000000002,2223.0,Finaliz� operaci�n en 2010,484090150101,71.44959072344359,66.83018020482899,60.639470531429396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLA,Los Laureles,-99.039644,19.578792,2230.0,,484150330201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOM,Lomas,-99.242062,19.403,2434.0,,484090160406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPR,La Presa,-99.11771999999999,19.534727,2302.0,,484151040203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVI,La Villa,-99.117749,19.46789,2228.0,Finaliz� operaci�n en 2010,484090050101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCM,Museo de la Cd. de M�xico,-99.131924,19.429071,2237.0,,484090150304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MER,Merced,-99.11959399999999,19.42461,2245.0,,484090170127,81.4088102982908,54.7709419408057,84.518858481905,32.9352188283405,27.725181295300196,31.926270275078696,30.5655179712957,27.0069941377167,26.552633945239002,21.877031586848997,22.493509396390902,26.6712844603185,24.516135214691896,26.363586884389,25.6363950378061,27.777675551799604,26.8001639983068,25.359572916469602,25.652181516915697,23.503299779615503
MGH,Miguel Hidalgo,-99.20266,19.40405,2327.0,,484090160609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2068590133849,22.0960131509161,22.468030711518196,22.567242293098,22.6191057818175
MIN,Metro Insurgentes,-99.162885,19.42144,2231.0,Finaliz� operaci�n en 2007,484090150201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MON,Montecillo,-98.90285300000001,19.460415,2252.0,,484150990113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0037376523146
MPA,Milpa Alta,-98.990189,19.1769,2594.0,,484090090104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.331670879390398,20.1714582604431,0.0,0.0
NET,Netzahualcoyotl,-99.026119,19.42115,2230.0,Finaliz� operaci�n en 2000,484150580201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEZ,Nezahualc�yotl,-99.028212,19.393734,2235.0,,484150580115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5538184326062,22.4842962043579,23.192988559435396,19.604373672075102,20.3797784715612,21.054662902133302,22.8623984615765,24.1923982080988,25.284378091926197
PED,Pedregal,-99.204136,19.325146,2326.0,,484090100127,42.721057173617,43.0084901304316,32.5549860355696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6128504947923,20.633655596447,22.205398479227,20.084779659117398,22.0653728891076,0.0,0.0,0.0,19.042077027314697
PER,La Perla,-98.991858,19.38286,2237.0,Finaliz� operaci�n en 2011,484150580303,0.0,0.0,0.0,27.2474563129284,31.5580210054245,30.8353034299891,30.1079065178971,28.485756265247897,35.3465104147889,26.8266308720615,26.4115145506615,33.1175825953696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
