cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ACO,Acolman,-98.912003,19.635501,2198.0,,484150020109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15450425592647,3.1403842061162104,3.43978211097312,2.38938719002787,2.94422295754077,2.6158470668584197,2.5813343809727796,2.07125216551168,1.97558895074924,1.81858087785128,2.06309443706782,1.6851819490630702,1.49402722887752,0.0
AJU,Ajusco,-99.162611,19.154286,2942.0,,484090120400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJM,Ajusco Medio,-99.20774399999999,19.272160999999997,2548.0,,484090120609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1994324273727703,3.3450738707621603,3.77936375775217,3.28966938147054,2.9468852636587406,2.1187247215245
ARA,Arag�n,-99.074549,19.470218,2200.0,Finaliz� operaci�n en 2010,484090050301,16.2510719562691,9.855395593165131,8.45412772191705,8.942425774568939,9.28643420755294,6.57184591666779,5.33356616636128,4.9648604709623,3.1659932020835604,2.73863124192012,3.3589040221213198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATI,Atizapan,-99.254133,19.576963,2341.0,,484150130101,13.078968351805,19.939408484396502,15.5358922299173,13.511593585158,12.398856659158199,13.5351926180017,9.73369328969095,7.5731000404454605,6.55112254757457,7.7442036257326,8.339182811634231,7.2329321593847595,7.3139511545526394,8.3035112673352,5.637187460744751,4.58430787433759,4.89364071284781,6.878011972356191,6.64796665244475,4.502982160410871,4.162141039975509
AZC,Azcapotzalco,-99.198657,19.487728,2279.0,Finaliz� operaci�n en 2010,484090020201,17.972923163635603,15.059570602131199,11.3328500204689,14.583291958521901,13.043521344301901,13.489996092806,10.0070138949223,7.43917082763643,6.731671375177241,6.186350715950081,7.639625129379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJU,Benito Ju�rez,-99.159596,19.370464000000002,2249.0,Finaliz� operaci�n en 2005,484090140201,18.0382502360248,15.398866173013802,12.2655009475754,10.1411777856548,11.792281411849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99409611178221,5.00349407424988,5.34872795953404,4.76602715146804,3.1553414335374503,3.05651991254115
CAM,Camarones,-99.169794,19.468404,2233.0,,484090020301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.162275251952719,6.60614792307351,7.97881265081052,5.76970249710608,6.38708401343711,6.152595925453191,6.15068035344075,5.19867445636369,4.39340249606,3.99802757871004
CCA,Centro de Ciencias de la Atm�sfera,-99.17611099999999,19.326110999999997,2294.0,,484090030501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3996249298711096,3.70205659657257,3.8244640313528997,3.75260409876791,3.63952077100731,2.6115704162781497,2.60285061124653
CES,Cerro de la Estrella,-99.074678,19.334731,2219.0,Finaliz� operaci�n en 2010,484090070111,17.3080961238453,14.2160052844721,9.252036361122151,8.20191367413804,10.163018227183802,7.82376239948433,4.6347089803653,5.0614204929490505,5.60864149040833,5.583886787928389,3.77109380903861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFE,Museo Tecnol�gico de la CFE,-99.19427900000001,19.414393,2287.0,Finaliz� operaci�n en 1996,484090160102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHO,Chalco,-98.886088,19.266948,2253.0,,484150250109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24338057281566,3.5355450970577698,2.9142114932077003,3.28585994115062,3.2876656937894797,3.02240594912807,2.75533965227883,2.70852318310556,2.0881857455724,2.26200662406212,2.00362117541087,1.4539158003763797,1.9441007303352702,0.0
COR,CORENA,-99.02604000000001,19.265345999999997,2242.0,,484090130204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COY,Coyoac�n,-99.157101,19.350258,2260.0,,484090030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUA,Cuajimalpa,-99.29170500000001,19.365313,2704.0,,484090040109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35534141092698,4.5764243800941,4.89715942377506,3.79093485456052,2.9195579202406203,2.7681753703761296,4.11329549449654,3.5424909491163303,2.56535136460265,2.6188971622187798
CUI,Cuitl�huac,-99.165849,19.469859,2255.0,Finaliz� operaci�n en 1993,484090020101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
