cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ACO,Acolman,-98.912003,19.635501,2198,,484150020109,0,0,0,0,0,0,0,0,0,0,0,14.3780580655247,15.0472850559017,16.063844030216,16.0788264796887,16.6057986166689,16.2348745007041,15.9352348180983,15.9251089936596,16.949922757417,15.9872168341508
AJU,Ajusco,-99.162611,19.154286,2942,,484090120400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1245499694529,10.5844585797378,10.1301656082949,10.5112025523968,11.1721185942443,10.8572077622808
AJM,Ajusco Medio,-99.207744,19.272161,2548,,484090120609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7175710809544,16.1322937085038,16.0075223272682,15.8087191713603,16.9057551983149,15.5707139162576
ARA,Arag�n,-99.074549,19.470218,2200,Finaliz� operaci�n en 2010,484090050301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATI,Atizapan,-99.254133,19.576963,2341,,484150130101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZC,Azcapotzalco,-99.198657,19.487728,2279,Finaliz� operaci�n en 2010,484090020201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJU,Benito Ju�rez,-99.159596,19.370464,2249,Finaliz� operaci�n en 2005,484090140201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6390365737807,17.4357663287526,17.5635595865389,17.5366835037917,18.3625357905534,18.6524362258195
CAM,Camarones,-99.169794,19.468404,2233,,484090020301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCA,Centro de Ciencias de la Atm�sfera,-99.176111,19.326111,2294,,484090030501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CES,Cerro de la Estrella,-99.074678,19.334731,2219,Finaliz� operaci�n en 2010,484090070111,16.7578502082823,16.6202981835872,16.8714353170633,17.0068637808552,16.2623225155129,17.4160675583902,0,15.679615288833,16.4603866382148,16.5958985263514,16.4897651352362,0,0,0,0,0,0,0,0,0,0
CFE,Museo Tecnol�gico de la CFE,-99.194279,19.414393,2287,Finaliz� operaci�n en 1996,484090160102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHO,Chalco,-98.886088,19.266948,2253,,484150250109,0,0,0,0,0,0,0,0,0,0,0,15.6703936907529,16.6626279789276,16.021276030152,16.6169369119815,16.2896805148346,15.9817973885479,15.9973516824847,16.243024510464,16.8902908687758,17.6949058276922
COR,CORENA,-99.02604,19.265346,2242,,484090130204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COY,Coyoac�n,-99.157101,19.350258,2260,,484090030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUA,Cuajimalpa,-99.291705,19.365313,2704,,484090040109,0,14.0886174549561,14.5887326774531,14.4796270771487,14.375702655094,14.4810917288729,14.3086797867475,14.6684599726164,14.1107600645277,15.3813460970969,14.7628507130798,15.3721898304623,13.3713005846137,14.0877386861224,14.349961144378,14.176352539335,14.0226154228953,14.2175428236181,14.0879867219556,14.8972710727795,15.6403312300092
CUI,Cuitl�huac,-99.165849,19.469859,2255,Finaliz� operaci�n en 1993,484090020101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUT,Cuautitl�n,-99.198602,19.722186,2263,,484150950109,0,0,0,0,0,0,0,0,0,0,0,0,15.4811164869754,14.4835923759675,14.6695127892053,14.8045818067354,14.8001612420525,14.6456802393472,14.6428358638253,16.1243365703695,16.6939341036087
DIC,Diconsa,-99.185774,19.298819,2305,,484090120304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
